date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:00:29	991/991	---M--	200	added ('OK')	image/png	etag:%22440d6c-3df-4f7a5d7247d80%22	http://shifthtml.themerex.net/images/slider-caption1.png	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/slider-caption1.png	(from http://shifthtml.themerex.net/style/style.css)
19:00:34	6245/6245	---M--	200	added ('OK')	image/png	etag:%225356b5c8-1865%22	http://shifthtml.themerex.net/images/bg/pattern1.png	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/bg/pattern1.png	(from http://shifthtml.themerex.net/style/style.css)
19:00:35	3584/3584	---M--	200	added ('OK')	image/png	etag:%225356b5c8-e00%22	http://shifthtml.themerex.net/images/bg/pattern2.png	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/bg/pattern2.png	(from http://shifthtml.themerex.net/style/style.css)
19:00:44	45311/45311	---M--	200	added ('OK')	image/jpeg	etag:%225356b5c8-b0ff%22	http://shifthtml.themerex.net/images/bg/pattern3.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/bg/pattern3.jpg	(from http://shifthtml.themerex.net/style/style.css)
19:01:16	190781/190781	---M--	200	added ('OK')	image/png	etag:%225356b5c8-2e93d%22	http://shifthtml.themerex.net/images/bg/pattern4.png	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/bg/pattern4.png	(from http://shifthtml.themerex.net/style/style.css)
19:01:45	518835/518835	---M--	200	added ('OK')	image/jpeg	etag:%225356b5c8-7eab3%22	http://shifthtml.themerex.net/images/bg/bg1.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/bg/bg1.jpg	(from http://shifthtml.themerex.net/style/style.css)
19:01:45	178032/178032	---M--	200	added ('OK')	image/png	etag:%225356b5c8-2b770%22	http://shifthtml.themerex.net/images/bg/pattern5.png	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/bg/pattern5.png	(from http://shifthtml.themerex.net/style/style.css)
19:01:46	1163/1163	---M--	200	added ('OK')	image/gif	etag:%225356b5c6-48b%22	http://shifthtml.themerex.net/images/v_line.gif	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/v_line.gif	(from http://shifthtml.themerex.net/style/style.css)
19:01:46	1218/1218	---M--	200	added ('OK')	image/png	etag:%225356b5c6-4c2%22	http://shifthtml.themerex.net/images/list_marker.png	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/list_marker.png	(from http://shifthtml.themerex.net/style/style.css)
19:01:46	233/233	---M--	200	added ('OK')	image/png	etag:%22440d63-e9-4f7a5d7247d80%22	http://shifthtml.themerex.net/images/list_marker2.png	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/list_marker2.png	(from http://shifthtml.themerex.net/style/style.css)
19:01:47	1501/1501	---M--	200	added ('OK')	image/png	etag:%225356b5c4-5dd%22	http://shifthtml.themerex.net/images/header_controls.png	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/header_controls.png	(from http://shifthtml.themerex.net/style/style.css)
19:01:48	8797/8797	---M--	200	added ('OK')	image/png	etag:%225356b5c6-225d%22	http://shifthtml.themerex.net/images/social_ico.png	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/social_ico.png	(from http://shifthtml.themerex.net/style/style.css)
19:01:48	294/294	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Mar%202016%2013:31:50%20GMT	http://shifthtml.themerex.net/images/title_divider.gif	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/title_divider.gif	(from http://shifthtml.themerex.net/style/style.css)
19:01:49	992/992	---M--	200	added ('OK')	image/png	etag:%22440d73-3e0-4f7a5d7247d80%22	http://shifthtml.themerex.net/images/title_divider.png	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/title_divider.png	(from http://shifthtml.themerex.net/style/style.css)
19:01:49	1000/1000	---M--	200	added ('OK')	image/png	etag:%22440d5f-3e8-4f7a5d705f900%22	http://shifthtml.themerex.net/images/line_hor.png	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/line_hor.png	(from http://shifthtml.themerex.net/style/style.css)
19:01:49	1050/1050	---M--	200	added ('OK')	image/png	etag:%225356b5c6-41a%22	http://shifthtml.themerex.net/images/post_title_icon.png	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/post_title_icon.png	(from http://shifthtml.themerex.net/style/style.css)
19:01:50	1118/1118	---M--	200	added ('OK')	image/png	etag:%225356b5c6-45e%22	http://shifthtml.themerex.net/images/section_marker.png	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/section_marker.png	(from http://shifthtml.themerex.net/style/style.css)
19:01:50	504629/504629	---M--	200	added ('OK')	image/jpeg	etag:%225356b5c8-7b335%22	http://shifthtml.themerex.net/images/bg/bg3.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/bg/bg3.jpg	(from http://shifthtml.themerex.net/style/style.css)
19:01:51	1355/1355	---M--	200	added ('OK')	image/png	etag:%225356b5c4-54b%22	http://shifthtml.themerex.net/images/contact_icons.png	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/contact_icons.png	(from http://shifthtml.themerex.net/style/style.css)
19:01:51	1516/1516	---M--	200	added ('OK')	image/png	etag:%225356b5c6-5ec%22	http://shifthtml.themerex.net/images/slider_controls.png	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/slider_controls.png	(from http://shifthtml.themerex.net/style/style.css)
19:01:52	1003/1003	---M--	200	added ('OK')	image/png	etag:%22440d6e-3eb-4f7a5d7247d80%22	http://shifthtml.themerex.net/images/slider_controls_bg.png	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/slider_controls_bg.png	(from http://shifthtml.themerex.net/style/style.css)
19:01:52	1315/1315	---M--	200	added ('OK')	image/png	etag:%225356b5c4-523%22	http://shifthtml.themerex.net/images/level_bg.png	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/level_bg.png	(from http://shifthtml.themerex.net/style/style.css)
19:01:53	1152/1152	---M--	200	added ('OK')	image/png	etag:%225356b5c4-480%22	http://shifthtml.themerex.net/images/level_mask.png	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/level_mask.png	(from http://shifthtml.themerex.net/style/style.css)
19:01:53	301/301	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Mar%202016%2013:31:55%20GMT	http://shifthtml.themerex.net/images/close_message_button.gif	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/close_message_button.gif	(from http://shifthtml.themerex.net/style/style.css)
19:01:54	1701/1701	---M--	200	added ('OK')	image/png	etag:%225356b5c6-6a5%22	http://shifthtml.themerex.net/images/play_button.png	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/play_button.png	(from http://shifthtml.themerex.net/style/style.css)
19:01:54	1233/1233	---M--	200	added ('OK')	image/png	etag:%225356b5c6-4d1%22	http://shifthtml.themerex.net/images/to_top.png	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/to_top.png	(from http://shifthtml.themerex.net/style/style.css)
19:01:55	1164/1164	---M--	200	added ('OK')	image/gif	etag:%225356b5c4-48c%22	http://shifthtml.themerex.net/images/line_hor.gif	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/line_hor.gif	(from http://shifthtml.themerex.net/style/style.css)
19:01:55	2351/2351	---M--	200	added ('OK')	image/png	etag:%225356b5c4-92f%22	http://shifthtml.themerex.net/images/list-styles.png	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/list-styles.png	(from http://shifthtml.themerex.net/style/style.css)
19:01:56	29555/29555	---MCZ	200	added ('OK')	text/html	etag:W/%22552d5a56-70d1%22	http://shifthtml.themerex.net/index.html	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/index-2.html	(from http://shifthtml.themerex.net/blog-category-arhive.html)
19:01:56	21656/21656	---MCZ	200	added ('OK')	text/html	etag:W/%225356b5bc-5498%22	http://shifthtml.themerex.net/author.html	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/author.html	(from http://shifthtml.themerex.net/blog-category-arhive.html)
19:01:57	19183/19183	---MCZ	200	added ('OK')	text/html	etag:W/%225356b5bc-4aef%22	http://shifthtml.themerex.net/post-standart.html	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/post-standart.html	(from http://shifthtml.themerex.net/blog-category-arhive.html)
19:01:58	19610/19610	---MCZ	200	added ('OK')	text/html	etag:W/%225356b5bc-4c9a%22	http://shifthtml.themerex.net/post-slider.html	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/post-slider.html	(from http://shifthtml.themerex.net/blog-category-arhive.html)
19:01:59	18909/18909	---MCZ	200	added ('OK')	text/html	etag:W/%225356b5bc-49dd%22	http://shifthtml.themerex.net/post-audio.html	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/post-audio.html	(from http://shifthtml.themerex.net/blog-category-arhive.html)
19:02:01	19376/19376	---MCZ	200	added ('OK')	text/html	etag:W/%225356b5bc-4bb0%22	http://shifthtml.themerex.net/post-video.html	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/post-video.html	(from http://shifthtml.themerex.net/blog-category-arhive.html)
